20 flow networks in flowNetworks2.txt.

** G1: |V|=100, V={0..99}
(u, v, weight) E = { 
      (86, 186,  63)
      (86, 191,  59)
      (86, 200,  77)
      (86, 204,  38)
      (86, 241,  82)
      (86, 254,  49)
      (86, 283,  26)
      (86, 297,  42)
      (87, 10,  62)
      (87, 13,  57)
      (87, 23,  65)
      (87, 27,  95)
      (87, 80,  40)
      (87, 81,  20)
      (87, 96,  98)
      (87, 102,  36)
      (87, 106,  58)
      (87, 107,  44)
      (87, 112,  58)
      (87, 141,   8)
      (87, 149,  79)
      (87, 164,  11)
      (87, 167,  44)
      (87, 168,  44)
      (87, 169,  62)
      (87, 175,  19)
      (87, 177,  71)
      (87, 190,  26)
      (87, 191,  34)
      (87, 196,  52)
      (87, 224,  81)
      (87, 228,  39)
      (87, 230,  40)
      (87, 239,  89)
      (87, 248,  56)
      (87, 251,  20)
      (87, 261,   7)
      (87, 272,  35)
      (87, 274,  77)
      (87, 277,  35)
      (87, 288,  54)
      (88, 16,  42)
      (88, 32,  48)
      (88, 33,  46)
      (88, 34,  84)
      (88, 39,  22)
      (88, 53,  47)
      (88, 69,  56)
      (88, 79,  36)
      (88, 96,  25)
      (88, 97,  59)
      (88, 113,  53)
      (88, 136,  38)
      (88, 138,  32)
      (88, 141,  41)
      (88, 150,  25)
      (88, 152,  34)
      (88, 168,  69)
      (88, 178,  82)
      (88, 180,  83)
      (88, 182,  24)
      (88, 190,  64)
      (88, 198,  13)
      (88, 206,  26)
      (88, 214,  54)
      (88, 216,  88)
      (88, 256,   9)
      (88, 264,  99)
      (88, 267,  54)
      (88, 292,  43)
      (89,  1,  74)
      (89,  5,  63)
      (89,  6,  20)
      (89, 22,  29)
      (89, 30,  61)
      (89, 37,  31)
      (89, 59,  78)
      (89, 70,  93)
      (89, 117,  69)
      (89, 133,  77)
      (89, 153,  48)
      (89, 188,  38)
      (89, 209,  32)
      (89, 238,  35)
      (89, 264,  38)
      (89, 267,  25)
      (90,  3,  32)
      (90, 58,  82)
      (90, 72,  64)
      (90, 76,  58)
      (90, 79,  98)
      (90, 81,  80)
      (90, 85,  11)
      (90, 100,  71)
      (90, 101,  69)
      (90, 121,   1)
      (90, 127,  49)
      (90, 128,  21)
      (90, 138,  79)
      (90, 168,  17)
      (90, 184,   8)
      (90, 187,  51)
      (90, 193,  42)
      (90, 197,  36)
      (90, 203,  64)
      (90, 211,  93)
      (90, 217,  94)
      (90, 222,  64)
      (90, 240,  78)
      (90, 249,   6)
      (90, 261,  15)
      (90, 272,  84)
      (90, 277,  41)
      (90, 280,  76)
      (90, 285,  79)
      (90, 288,  37)
      (91,  1,  38)
      (91, 13,  79)
      (91, 33,  95)
      (91, 56,   5)
      (91, 68,  80)
      (91, 73,  19)
      (91, 75,  97)
      (91, 76,  84)
      (91, 86,   4)
      (91, 88,  76)
      (91, 90,  56)
      (91, 106,  38)
      (91, 117,  21)
      (91, 129,  49)
      (91, 133,  48)
      (91, 138,  82)
      (91, 156,  87)
      (91, 159,  90)
      (91, 160,   5)
      (91, 172,  24)
      (91, 196,  78)
      (91, 212,  70)
      (91, 221,  47)
      (91, 224,  22)
      (91, 255,  78)
      (91, 284,  38)
      (91, 287,  33)
      (91, 290,  60)
      (91, 297,  60)
      (92,  5,  21)
      (92,  9,  84)
      (92, 11,  78)
      (92, 42,  20)
      (92, 51,  20)
      (92, 54,  24)
      (92, 55,  47)
      (92, 57,   1)
      (92, 63,  78)
      (92, 73,  67)
      (92, 88,  24)
      (92, 95,  70)
      (92, 98,   0)
      (92, 112,  57)
      (92, 115,  60)
      (92, 122,  99)
      (92, 123,  21)
      (92, 134,  36)
      (92, 153,  91)
      (92, 165,  60)
      (92, 173,   2)
      (92, 195,   2)
      (92, 240,  70)
      (92, 249,  57)
      (92, 250,  46)
      (92, 257,  38)
      (92, 266,  78)
      (92, 272,   4)
      (92, 294,  62)
      (93,  2,  68)
      (93,  8,  72)
      (93, 19,  21)
      (93, 24,   4)
      (93, 42,  17)
      (93, 44,  17)
      (93, 50,  16)
      (93, 64,   1)
      (93, 69,  22)
      (93, 81,  72)
      (93, 100,  63)
      (93, 109,  45)
      (93, 111,   2)
      (93, 130,  98)
      (93, 132,  30)
      (93, 139,  52)
      (93, 141,  14)
      (93, 147,  49)
      (93, 165,  25)
      (93, 168,  65)
      (93, 181,  60)
      (93, 188,  75)
      (93, 196,  47)
      (93, 198,  30)
      (93, 199,  53)
      (93, 200,  93)
      (93, 214,  82)
      (93, 240,   7)
      (93, 254,  37)
      (93, 278,  14)
      (93, 282,  22)
      (93, 289,  71)
      (93, 292,  64)
      (94, 32,  13)
      (94, 35,  17)
      (94, 48,  60)
      (94, 51,  82)
      (94, 52,   1)
      (94, 55,  20)
      (94, 88,  32)
      (94, 112,   9)
      (94, 121,  39)
      (94, 134,  38)
      (94, 139,  38)
      (94, 152,   8)
      (94, 153,  18)
      (94, 159,  89)
      (94, 174,  32)
      (94, 222,  49)
      (94, 239,  73)
      (94, 253,  68)
      (94, 255,  85)
      (94, 263,   3)
      (94, 265,  18)
      (94, 291,  16)
      (95,  2,  90)
      (95, 28,  42)
      (95, 46,  56)
      (95, 48,  86)
      (95, 59,  65)
      (95, 64,  30)
      (95, 78,  74)
      (95, 90,  68)
      (95, 94,   3)
      (95, 106,  81)
      (95, 114,   0)
      (95, 123,  30)
      (95, 126,  66)
      (95, 157,  36)
      (95, 178,   4)
      (95, 180,  29)
      (95, 193,  64)
      (95, 205,  84)
      (95, 207,  44)
      (95, 211,  82)
      (95, 213,  13)
      (95, 219,  39)
      (95, 229,  55)
      (95, 254,  35)
      (95, 267,  38)
      (95, 271,  87)
      (95, 279,  57)
      (95, 283,   2)
      (96,  4,  14)
      (96, 15,  26)
      (96, 24,  31)
      (96, 27,   8)
      (96, 33,  49)
      (96, 35,  89)
      (96, 47,  44)
      (96, 53,  90)
      (96, 66,  77)
      (96, 70,  74)
      (96, 81,  30)
      (96, 89,  78)
      (96, 102,  81)
      (96, 111,  40)
      (96, 148,  40)
      (96, 154,  17)
      (96, 175,  86)
      (96, 178,  60)
      (96, 180,  25)
      (96, 190,  13)
      (96, 227,  78)
      (96, 241,  96)
      (96, 251,  45)
      (96, 284,   7)
      (96, 287,   9)
      (96, 289,  11)
      (96, 296,  29)
      (97,  2,  14)
      (97,  7,  24)
      (97, 17,  52)
      (97, 31,  90)
      (97, 41,  89)
      (97, 57,  52)
      (97, 63,  48)
      (97, 72,  91)
      (97, 94,  62)
      (97, 98,  63)
      (97, 103,  22)
      (97, 105,  98)
      (97, 127,  13)
      (97, 137,  36)
      (97, 139,  15)
      (97, 147,  20)
      (97, 151,  20)
      (97, 169,  67)
      (97, 172,  79)
      (97, 182,  28)
      (97, 184,  19)
      (97, 199,  99)
      (97, 204,  69)
      (97, 213,  64)
      (97, 216,  60)
      (97, 223,  73)
      (97, 224,  10)
      (97, 252,  46)
      (97, 255,  32)
      (97, 265,  62)
      (97, 282,  92)
      (97, 283,   4)
      (97, 291,  24)
      (97, 293,   7)
      (97, 295,  16)
      (98,  2,   5)
      (98, 11,  48)
      (98, 16,  99)
      (98, 34,  31)
      (98, 46,  20)
      (98, 51,  39)
      (98, 57,  84)
      (98, 64,  86)
      (98, 74,  76)
      (98, 77,   5)
      (98, 95,  24)
      (98, 97,  52)
      (98, 101,  15)
      (98, 119,  46)
      (98, 124,  88)
      (98, 126,  69)
      (98, 133,   0)
      (98, 146,   4)
      (98, 154,  50)
      (98, 188,  38)
      (98, 189,  49)
      (98, 191,  11)
      (98, 201,  99)
      (98, 235,   9)
      (98, 241,  15)
      (98, 246,  88)
      (98, 247,  58)
      (98, 258,  71)
      (98, 279,  55)
      (99, 12,  36)
      (99, 18,   5)
      (99, 26,  59)
      (99, 31,   6)
      (99, 54,  83)
      (99, 58,  49)
      (99, 59,  60)
      (99, 93,  97)
      (99, 103,  18)
      (99, 106,  14)
      (99, 123,  55)
      (99, 126,  99)
      (99, 141,   0)
      (99, 144,  66)
      (99, 146,  19)
      (99, 149,  16)
      (99, 154,   3)
      (99, 157,  73)
      (99, 168,  18)
      (99, 178,  21)
      (99, 189,  87)
      (99, 195,  51)
      (99, 215,  69)
      (99, 216,  42)
      (99, 228,   2)
      (99, 234,  34)
      (99, 237,  52)
      (99, 239,  32)
      (99, 247,  38)
      (99, 252,  75)
      (99, 259,  61)
      (99, 286,  76)
      (99, 294,  61)
      (99, 296,  48)
      (100,  8,  85)
      (100,  9,  34)
      (100, 24,  29)
      (100, 31,  56)
      (100, 36,  80)
      (100, 37,  67)
      (100, 44,  49)
      (100, 55,  90)
      (100, 56,  96)
      (100, 59,  42)
      (100, 61,  58)
      (100, 78,  65)
      (100, 85,  98)
      (100, 142,  47)
      (100, 144,  54)
      (100, 152,  60)
      (100, 161,  50)
      (100, 163,  55)
      (100, 168,  14)
      (100, 193,  56)
      (100, 197,  14)
      (100, 204,  21)
      (100, 215,  75)
      (100, 238,  70)
      (100, 239,  26)
      (100, 246,   5)
      (100, 269,  47)
      (100, 293,   4)
      (100, 296,  53)
      (101,  6,  56)
      (101,  7,  22)
      (101, 12,  26)
      (101, 16,  57)
      (101, 19,  92)
      (101, 35,  22)
      (101, 43,  56)
      (101, 44,  51)
      (101, 45,  95)
      (101, 58,  79)
      (101, 64,  66)
      (101, 65,  60)
      (101, 68,  16)
      (101, 72,  17)
      (101, 81,  14)
      (101, 82,  41)
      (101, 85,  19)
      (101, 93,  69)
      (101, 123,  45)
      (101, 143,  27)
      (101, 148,  84)
      (101, 151,  14)
      (101, 158,  36)
      (101, 159,   4)
      (101, 160,  42)
      (101, 178,  18)
      (101, 209,  57)
      (101, 227,  71)
      (101, 273,  98)
      (101, 276,  75)
      (102,  1,   5)
      (102,  9,  30)
      (102, 13,  42)
      (102, 28,  33)
      (102, 36,  51)
      (102, 40,  20)
      (102, 41,  43)
      (102, 45,  78)
      (102, 72,  77)
      (102, 75,   3)
      (102, 86,  13)
      (102, 94,  42)
      (102, 108,  12)
      (102, 136,  45)
      (102, 145,  91)
      (102, 148,  30)
      (102, 166,  45)
      (102, 168,  98)
      (102, 177,  68)
      (102, 210,  14)
      (102, 213,  27)
      (102, 221,   4)
      (102, 223,  77)
      (102, 233,  73)
      (102, 234,  96)
      (102, 240,  96)
      (102, 250,  16)
      (102, 254,  86)
      (102, 275,  98)
      (102, 278,  12)
      (102, 292,  36)
      (102, 293,  37)
      (102, 294,  68)
      (102, 299,  21)
      (103,  1,  17)
      (103,  5,  48)
      (103,  7,  14)
      (103, 11,  83)
      (103, 13,  10)
      (103, 16,  44)
      (103, 25,  60)
      (103, 36,  39)
      (103, 56,  96)
      (103, 114,  82)
      (103, 120,  29)
      (103, 129,  75)
      (103, 150,  15)
      (103, 152,  86)
      (103, 168,  88)
      (103, 172,  17)
      (103, 195,  20)
      (103, 203,  83)
      (103, 251,  90)
      (103, 271,  88)
      (103, 272,  22)
      (103, 280,   1)
      (103, 289,  66)
      (103, 297,   5)
      (104,  2,  10)
      (104, 13,  40)
      (104, 17,  24)
      (104, 30,  16)
      (104, 42,  15)
      (104, 47,   3)
      (104, 61,  47)
      (104, 64,  68)
      (104, 97,  24)
      (104, 107,  99)
      (104, 108,  49)
      (104, 125,  61)
      (104, 129,  63)
      (104, 141,  63)
      (104, 158,  19)
      (104, 161,  25)
      (104, 163,   8)
      (104, 178,   0)
      (104, 182,  37)
      (104, 190,  47)
      (104, 194,  64)
      (104, 208,  64)
      (104, 211,  46)
      (104, 216,  42)
      (104, 227,  17)
      (104, 237,  79)
      (104, 242,  36)
      (104, 250,  51)
      (104, 251,  58)
      (104, 267,  87)
      (104, 269,  92)
      (104, 277,  78)
      (104, 287,  94)
      (104, 290,  79)
      (105, 50,  17)
      (105, 53,  31)
      (105, 67,  44)
      (105, 93,  18)
      (105, 97,  67)
      (105, 104,  54)
      (105, 112,  13)
      (105, 114,  40)
      (105, 125,  58)
      (105, 126,  72)
      (105, 131,  35)
      (105, 133,  89)
      (105, 146,  99)
      (105, 169,   4)
      (105, 174,  61)
      (105, 177,  84)
      (105, 190,  23)
      (105, 204,  92)
      (105, 212,  25)
      (105, 213,  27)
      (105, 221,  69)
      (105, 236,  47)
      (105, 253,  98)
      (105, 266,  47)
      (105, 268,  47)
      (105, 276,  62)
      (106,  1,  83)
      (106, 20,  80)
      (106, 28,   9)
      (106, 66,  56)
      (106, 99,  74)
      (106, 101,  61)
      (106, 117,  65)
      (106, 124,  24)
      (106, 134,  40)
      (106, 147,  64)
      (106, 164,  35)
      (106, 175,  71)
      (106, 177,  10)
      (106, 190,  34)
      (106, 195,  49)
      (106, 203,  93)
      (106, 211,  79)
      (106, 218,  19)
      (106, 220,  61)
      (106, 228,  46)
      (106, 246,  52)
      (106, 256,  36)
      (106, 284,  23)
      (106, 297,  94)
      (107, 13,  47)
      (107, 18,  61)
      (107, 24,  61)
      (107, 48,  84)
      (107, 49,   8)
      (107, 55,  63)
      (107, 67,   2)
      (107, 72,  23)
      (107, 86,   1)
      (107, 92,  74)
      (107, 118,  77)
      (107, 129,  32)
      (107, 134,  52)
      (107, 180,   7)
      (107, 189,  47)
      (107, 193,  20)
      (107, 194,  66)
      (107, 195,  47)
      (107, 202,  19)
      (107, 203,  48)
      (107, 205,  64)
      (107, 212,  71)
      (107, 217,  47)
      (107, 237,  20)
      (107, 258,   6)
      (107, 259,  24)
      (107, 276,  77)
      (107, 279,  77)
      (107, 286,  74)
      (107, 293,  37)
      (107, 298,  83)
      (108,  7,   6)
      (108, 56,  39)
      (108, 70,  15)
      (108, 95,  16)
      (108, 105,   4)
      (108, 111,  98)
      (108, 128,  11)
      (108, 140,  35)
      (108, 151,   7)
      (108, 159,  49)
      (108, 171,  52)
      (108, 175,  60)
      (108, 181,  93)
      (108, 186,   9)
      (108, 187,  61)
      (108, 206,   5)
      (108, 253,  46)
      (108, 266,  41)
      (108, 267,  82)
      (108, 279,  47)
      (108, 290,   9)
      (108, 296,  59)
      (109,  3,  58)
      (109,  7,  98)
      (109, 27,  99)
      (109, 44,  83)
      (109, 59,  22)
      (109, 70,  20)
      (109, 76,  28)
      (109, 85,  80)
      (109, 94,  60)
      (109, 95,  93)
      (109, 104,   3)
      (109, 116,  47)
      (109, 121,   3)
      (109, 130,  15)
      (109, 137,  12)
      (109, 141,  89)
      (109, 147,  28)
      (109, 155,   2)
      (109, 198,  24)
      (109, 201,  22)
      (109, 229,  99)
      (109, 237,  48)
      (109, 243,  81)
      (109, 251,  82)
      (109, 273,  78)
      (109, 284,  87)
      (109, 291,  23)
      (110,  1,  90)
      (110,  5,   4)
      (110,  7,  28)
      (110, 10,  77)
      (110, 14,  34)
      (110, 25,  39)
      (110, 42,  86)
      (110, 62,  79)
      (110, 69,  80)
      (110, 73,  65)
      (110, 103,  28)
      (110, 120,  60)
      (110, 136,  91)
      (110, 150,  74)
      (110, 154,  10)
      (110, 158,   9)
      (110, 171,   9)
      (110, 181,  24)
      (110, 191,  48)
      (110, 193,   1)
      (110, 207,  64)
      (110, 233,  44)
      (110, 276,  41)
      (110, 287,  94)
      (110, 297,  73)
      (110, 298,  77)
      (111, 36,  72)
      (111, 57,  34)
      (111, 65,  68)
      (111, 66,   8)
      (111, 69,  22)
      (111, 73,  56)
      (111, 75,  21)
      (111, 79,  41)
      (111, 80,  54)
      (111, 98,  92)
      (111, 109,  76)
      (111, 121,  45)
      (111, 122,  97)
      (111, 126,  36)
      (111, 133,  88)
      (111, 135,  29)
      (111, 143,  87)
      (111, 152,  92)
      (111, 166,  20)
      (111, 192,  26)
      (111, 193,  30)
      (111, 212,  98)
      (111, 231,  91)
      (111, 244,  92)
      (111, 245,  28)
      (111, 251,  72)
      (112,  6,  30)
      (112, 30,  12)
      (112, 33,  82)
      (112, 34,  83)
      (112, 41,  48)
      (112, 43,  84)
      (112, 48,  55)
      (112, 54,   6)
      (112, 79,  45)
      (112, 93,   0)
      (112, 97,  49)
      (112, 109,  11)
      (112, 115,  71)
      (112, 117,  87)
      (112, 132,  90)
      (112, 152,  85)
      (112, 156,  99)
      (112, 195,  75)
      (112, 199,   7)
      (112, 204,  58)
      (112, 206,  55)
      (112, 222,  67)
      (112, 227,  19)
      (112, 237,  33)
      (112, 238,  72)
      (112, 249,  21)
      (112, 261,  98)
      (112, 265,  57)
      (112, 266,  82)
      (112, 269,  46)
      (112, 275,  58)
      (112, 280,  56)
      (112, 285,  39)
      (112, 289,  18)
      (112, 291,  92)
      (112, 295,  49)
      (113, 25,  28)
      (113, 26,  53)
      (113, 27,  73)
      (113, 38,  91)
      (113, 44,  63)
      (113, 50,  43)
      (113, 54,  48)
      (113, 60,  24)
      (113, 76,  68)
      (113, 79,  44)
      (113, 81,  47)
      (113, 98,  25)
      (113, 100,  76)
      (113, 103,  10)
      (113, 109,   7)
      (113, 124,  33)
      (113, 176,  86)
      (113, 182,  40)
      (113, 203,  24)
      (113, 207,  39)
      (113, 237,  26)
      (113, 239,  47)
      (113, 257,  30)
      (113, 266,  37)
      (113, 276,  66)
      (113, 288,  41)
      (113, 298,  19)
      (113, 299,  37)
      (114,  5,  35)
      (114, 17,  68)
      (114, 26,   9)
      (114, 35,   3)
      (114, 37,  73)
      (114, 39,  38)
      (114, 74,  16)
      (114, 123,  55)
      (114, 144,   3)
      (114, 145,  81)
      (114, 157,  66)
      (114, 169,   3)
      (114, 172,  91)
      (114, 179,  52)
      (114, 183,  44)
      (114, 186,  52)
      (114, 194,  87)
      (114, 195,  55)
      (114, 200,  52)
      (114, 211,  40)
      (114, 217,  49)
      (114, 225,  69)
      (114, 226,  32)
      (114, 229,  62)
      (114, 230,  89)
      (114, 242,  27)
      (114, 245,   2)
      (114, 253,  99)
      (114, 271,  25)
      (114, 296,  55)
      (115,  3,   9)
      (115,  9,  97)
      (115, 13,  55)
      (115, 16,  32)
      (115, 17,   1)
      (115, 19,  21)
      (115, 32,   7)
      (115, 55,  13)
      (115, 62,  97)
      (115, 65,  35)
      (115, 79,  53)
      (115, 80,  43)
      (115, 99,  21)
      (115, 114,  34)
      (115, 117,  17)
      (115, 121,  85)
      (115, 143,  94)
      (115, 146,   7)
      (115, 147,  12)
      (115, 150,  48)
      (115, 154,  78)
      (115, 172,  63)
      (115, 179,  45)
      (115, 181,  63)
      (115, 188,  75)
      (115, 189,  88)
      (115, 190,  79)
      (115, 193,  10)
      (115, 195,  36)
      (115, 198,  82)
      (115, 204,  83)
      (115, 209,  70)
      (115, 219,  18)
      (115, 228,  74)
      (115, 244,  85)
      (115, 253,  15)
      (115, 255,  71)
      (115, 272,  18)
      (115, 274,  99)
      (115, 276,  22)
      (115, 283,  13)
      (116,  4,  97)
      (116, 72,  29)
      (116, 73,  87)
      (116, 78,  38)
      (116, 97,  25)
      (116, 103,  66)
      (116, 123,  68)
      (116, 127,  11)
      (116, 130,  65)
      (116, 135,  12)
      (116, 137,   3)
      (116, 169,  97)
      (116, 180,  70)
      (116, 198,  76)
      (116, 234,  37)
      (116, 240,  97)
      (116, 266,  77)
      (116, 270,  55)
      (116, 276,  51)
      (116, 284,   1)
      (116, 295,  41)
      (117, 15,  49)
      (117, 26,  16)
      (117, 36,  79)
      (117, 49,  48)
      (117, 73,  88)
      (117, 76,  43)
      (117, 87,  45)
      (117, 105,  76)
      (117, 125,   1)
      (117, 130,  96)
      (117, 134,  55)
      (117, 136,  55)
      (117, 147,  37)
      (117, 156,  25)
      (117, 179,  16)
      (117, 195,  48)
      (117, 197,  78)
      (117, 203,  64)
      (117, 204,  20)
      (117, 205,  36)
      (117, 209,  42)
      (117, 212,  69)
      (117, 235,  73)
      (117, 244,  38)
      (117, 248,  18)
      (117, 264,  23)
      (117, 271,  20)
      (117, 279,  51)
      (117, 299,  33)
      (118, 34,  46)
      (118, 38,  33)
      (118, 39,  95)
      (118, 40,  74)
      (118, 46,  11)
      (118, 52,  14)
      (118, 59,  67)
      (118, 65,  33)
      (118, 79,   3)
      (118, 100,  93)
      (118, 122,  43)
      (118, 133,  60)
      (118, 147,  82)
      (118, 148,  65)
      (118, 175,   0)
      (118, 216,  31)
      (118, 253,  71)
      (118, 254,  98)
      (118, 277,  23)
      (119, 17,  45)
      (119, 26,  66)
      (119, 29,  19)
      (119, 41,  43)
      (119, 47,  70)
      (119, 48,  19)
      (119, 52,  13)
      (119, 64,  94)
      (119, 66,  33)
      (119, 68,  38)
      (119, 70,  68)
      (119, 77,  17)
      (119, 79,  56)
      (119, 81,  27)
      (119, 82,  63)
      (119, 93,  11)
      (119, 124,   2)
      (119, 130,  19)
      (119, 138,   0)
      (119, 140,  90)
      (119, 141,  75)
      (119, 154,  36)
      (119, 158,  71)
      (119, 169,  81)
      (119, 201,  66)
      (119, 204,  46)
      (119, 210,  25)
      (119, 216,  61)
      (119, 219,  10)
      (119, 231,  35)
      (119, 244,  62)
      (119, 246,  73)
      (119, 293,  27)
      (119, 296,  74)
      (119, 298,  99)
      (119, 299,  92)
      (120,  9,  11)
      (120, 12,  38)
      (120, 49,  92)
      (120, 55,  46)
      (120, 59,  88)
      (120, 60,   1)
      (120, 62,  57)
      (120, 67,  49)
      (120, 68,  45)
      (120, 75,   1)
      (120, 93,  16)
      (120, 106,  76)
      (120, 116,  51)
      (120, 124,  59)
      (120, 126,  72)
      (120, 135,  18)
      (120, 136,  46)
      (120, 139,  80)
      (120, 147,  37)
      (120, 153,  82)
      (120, 155,  85)
      (120, 174,  42)
      (120, 175,  76)
      (120, 201,  20)
      (120, 213,  13)
      (120, 225,  71)
      (120, 235,  20)
      (120, 241,  94)
      (120, 245,  38)
      (120, 246,  51)
      (120, 255,  82)
      (120, 271,  79)
      (120, 274,  93)
      (120, 293,  18)
      (121,  8,  94)
      (121, 15,  42)
      (121, 16,  43)
      (121, 21,  10)
      (121, 28,  49)
      (121, 43,  98)
      (121, 71,  63)
      (121, 78,  74)
      (121, 108,   5)
      (121, 115,  61)
      (121, 117,  54)
      (121, 124,  77)
      (121, 135,  97)
      (121, 146,  83)
      (121, 150,  90)
      (121, 157,  46)
      (121, 172,   6)
      (121, 209,   7)
      (121, 212,  29)
      (121, 225,  23)
      (121, 245,  66)
      (121, 249,  99)
      (121, 255,  23)
      (121, 259,  21)
      (121, 288,  83)
      (121, 289,  97)
      (122,  5,  46)
      (122,  9,  42)
      (122, 18,  52)
      (122, 24,  48)
      (122, 37,  70)
      (122, 41,  92)
      (122, 45,  24)
      (122, 52,  37)
      (122, 64,  78)
      (122, 74,  44)
      (122, 85,  58)
      (122, 103,  73)
      (122, 104,  27)
      (122, 114,  99)
      (122, 120,  58)
      (122, 121,  46)
      (122, 126,  20)
      (122, 135,  70)
      (122, 139,  78)
      (122, 151,  58)
      (122, 177,  11)
      (122, 180,  76)
      (122, 200,  79)
      (122, 202,  80)
      (122, 208,  89)
      (122, 222,  24)
      (122, 247,  68)
      (122, 248,  46)
      (122, 257,  72)
      (122, 262,  44)
      (122, 267,  64)
      (122, 279,  97)
      (122, 294,  84)
      (122, 298,  11)
      (123, 12,  24)
      (123, 42,  26)
      (123, 45,  86)
      (123, 53,  28)
      (123, 55,  63)
      (123, 58,  78)
      (123, 63,  76)
      (123, 72,  85)
      (123, 75,  76)
      (123, 107,  42)
      (123, 111,  64)
      (123, 114,  69)
      (123, 124,  23)
      (123, 129,  78)
      (123, 131,  53)
      (123, 132,  97)
      (123, 139,  98)
      (123, 172,  96)
      (123, 173,  41)
      (123, 180,  54)
      (123, 181,  11)
      (123, 183,  47)
      (123, 184,  70)
      (123, 194,  44)
      (123, 202,  88)
      (123, 235,  33)
      (123, 241,  23)
      (123, 243,  97)
      (123, 247,  94)
      (123, 261,  89)
      (123, 262,  29)
      (123, 263,  75)
      (123, 282,  74)
      (123, 285,  97)
      (123, 288,  56)
      (124, 10,  59)
      (124, 15,  84)
      (124, 16,  27)
      (124, 23,  81)
      (124, 34,  97)
      (124, 35,   1)
      (124, 39,  77)
      (124, 40,  12)
      (124, 43,  43)
      (124, 73,  87)
      (124, 78,   2)
      (124, 93,  34)
      (124, 94,  38)
      (124, 113,  47)
      (124, 117,  36)
      (124, 139,  65)
      (124, 144,   2)
      (124, 147,  65)
      (124, 152,  90)
      (124, 169,  86)
      (124, 174,  99)
      (124, 180,  57)
      (124, 190,  82)
      (124, 192,  34)
      (124, 198,  30)
      (124, 208,  32)
      (124, 211,  33)
      (124, 228,   8)
      (124, 237,   8)
      (124, 258,  81)
      (124, 264,  19)
      (124, 269,  90)
      (124, 276,  19)
      (124, 284,  12)
      (124, 290,  17)
      (124, 294,  67)
      (125,  2,  61)
      (125, 20,  70)
      (125, 28,  74)
      (125, 66,  12)
      (125, 69,  32)
      (125, 84,  27)
      (125, 132,  30)
      (125, 134,  12)
      (125, 136,  34)
      (125, 141,  48)
      (125, 150,  81)
      (125, 170,  36)
      (125, 189,   5)
      (125, 196,  40)
      (125, 211,  26)
      (125, 216,  62)
      (125, 251,  47)
      (125, 255,  74)
      (125, 273,  57)
      (126, 22,  97)
      (126, 27,  84)
      (126, 39,  46)
      (126, 42,  63)
      (126, 48,  42)
      (126, 51,  75)
      (126, 57,  80)
      (126, 62,  52)
      (126, 64,  78)
      (126, 65,  47)
      (126, 85,  22)
      (126, 89,  13)
      (126, 110,  56)
      (126, 129,  89)
      (126, 138,  38)
      (126, 141,  79)
      (126, 145,  39)
      (126, 149,  19)
      (126, 154,  13)
      (126, 160,  25)
      (126, 175,   9)
      (126, 191,  56)
      (126, 201,   5)
      (126, 203,  76)
      (126, 214,  22)
      (126, 225,  72)
      (126, 226,  95)
      (126, 228,  14)
      (126, 239,   4)
      (126, 250,  88)
      (126, 260,  46)
      (126, 271,   7)
      (126, 279,  77)
      (126, 280,  85)
      (126, 286,  42)
      (126, 297,  71)
      (127,  9,  21)
      (127, 15,  82)
      (127, 25,  18)
      (127, 32,  56)
      (127, 65,  65)
      (127, 81,  80)
      (127, 87,  52)
      (127, 93,  86)
      (127, 103,  45)
      (127, 110,  33)
      (127, 112,  22)
      (127, 133,  39)
      (127, 137,  32)
      (127, 141,  25)
      (127, 154,   4)
      (127, 155,  30)
      (127, 157,   6)
      (127, 160,  72)
      (127, 169,  87)
      (127, 186,  79)
      (127, 206,  86)
      (127, 215,  77)
      (127, 222,  56)
      (127, 247,   7)
      (127, 253,  91)
      (127, 281,  59)
      (127, 290,  90)
      (127, 295,  99)
      (128,  5,  75)
      (128,  6,  93)
      (128, 27,  36)
      (128, 33,   1)
      (128, 42,  91)
      (128, 53,  14)
      (128, 54,  35)
      (128, 86,   8)
      (128, 98,  89)
      (128, 109,  93)
      (128, 112,  84)
      (128, 118,  85)
      (128, 126,  81)
      (128, 140,  72)
      (128, 148,  67)
      (128, 149,  80)
      (128, 153,  65)
      (128, 155,  59)
      (128, 164,  27)
      (128, 169,  31)
      (128, 178,  15)
      (128, 181,   1)
      (128, 184,  37)
      (128, 185,  78)
      (128, 186,  87)
      (128, 194,  60)
      (128, 202,  24)
      (128, 204,  47)
      (128, 212,  92)
      (128, 217,  29)
      (128, 222,  63)
      (128, 223,   3)
      (128, 242,  88)
      (128, 247,  53)
      (128, 249,  30)
      (128, 276,  32)
      (128, 280,  22)
      (128, 290,  51)
      (128, 294,  72)
      (128, 299,  67)
      (129,  9,  65)
      (129, 14,  48)
      (129, 27,  61)
      (129, 38,  52)
      (129, 50,  31)
      (129, 56,  51)
      (129, 58,  19)
      (129, 62,   7)
      (129, 70,  32)
      (129, 74,  28)
      (129, 83,  70)
      (129, 106,  30)
      (129, 122,  47)
      (129, 124,  79)
      (129, 138,  65)
      (129, 171,  28)
      (129, 176,  24)
      (129, 193,  45)
      (129, 207,   9)
      (129, 221,  22)
      (129, 224,  40)
      (129, 227,  18)
      (129, 272,  52)
      (129, 276,  93)
      (129, 279,  81)
